Accuracy,Balanced_Accuracy,Macro_F1,F1_Target,Precision_Target,Recall_Target,AUROC,AUPRC,Model,Language,Samples,source_file,run_id
0.6753246753246753,0.6753378378378379,0.6751054852320675,0.6835443037974683,0.6923076923076923,0.675,0.7277027027027027,0.7348016262618279,RandomForest,korean,77,results/20260206_120729/summary/all_results_lazypredict.csv,20260206_120729
0.6753246753246753,0.6793918918918919,0.6733412523332768,0.647887323943662,0.7419354838709677,0.575,0.7091216216216215,0.7155070887184818,Bagging,korean,77,results/20260206_120729/summary/all_results_lazypredict.csv,20260206_120729
0.6753246753246753,0.6793918918918919,0.6733412523332768,0.647887323943662,0.7419354838709677,0.575,0.7587837837837837,0.7971191697814173,GaussianNB,korean,77,results/20260206_120729/summary/all_results_lazypredict.csv,20260206_120729
0.6753246753246753,0.6814189189189189,0.6697546749013553,0.6268656716417911,0.7777777777777778,0.525,0.6699324324324325,0.6652533592514539,KNN_5,korean,77,results/20260206_120729/summary/all_results_lazypredict.csv,20260206_120729
0.6623376623376623,0.6689189189189189,0.6553030303030303,0.6060606060606061,0.7692307692307693,0.5,0.6969594594594595,0.6830679736929738,KNN_3,korean,77,results/20260206_120729/summary/all_results_lazypredict.csv,20260206_120729
0.6233766233766234,0.6243243243243244,0.6233766233766234,0.6233766233766234,0.6486486486486487,0.6,0.6702702702702702,0.7206436982505886,AdaBoost,korean,77,results/20260206_120729/summary/all_results_lazypredict.csv,20260206_120729
0.6730769230769231,0.6730769230769231,0.6724173426112736,0.6577181208053692,0.6901408450704225,0.6282051282051282,0.7411242603550295,0.7359448240031028,KNN_5,english,156,results/20260206_120729/summary/all_results_lazypredict.csv,20260206_120729
0.6794871794871795,0.6794871794871795,0.6786420566908371,0.6621621621621622,0.7,0.6282051282051282,0.7204963839579224,0.6822680471178802,KNN_3,english,156,results/20260206_120729/summary/all_results_lazypredict.csv,20260206_120729
0.6794871794871795,0.6794871794871795,0.6794344895610718,0.6753246753246753,0.6842105263157895,0.6666666666666666,0.6794871794871794,0.6228070175438596,DecisionTree,english,156,results/20260206_120729/summary/all_results_lazypredict.csv,20260206_120729
0.7243589743589743,0.7243589743589743,0.7240755213689276,0.7152317880794702,0.7397260273972602,0.6923076923076923,0.7721893491124261,0.7606521353243855,Bagging,english,156,results/20260206_120729/summary/all_results_lazypredict.csv,20260206_120729
0.7307692307692307,0.7307692307692307,0.7262700534759359,0.6911764705882353,0.8103448275862069,0.6025641025641025,0.796844181459566,0.8153096939586942,GaussianNB,english,156,results/20260206_120729/summary/all_results_lazypredict.csv,20260206_120729
0.7307692307692307,0.7307692307692308,0.7285832642916321,0.704225352112676,0.78125,0.6410256410256411,0.8057199211045364,0.8255086537246756,QDA,english,156,results/20260206_120729/summary/all_results_lazypredict.csv,20260206_120729
0.7307692307692307,0.7307692307692307,0.7307692307692307,0.7307692307692307,0.7307692307692307,0.7307692307692307,0.8193622616699539,0.8461833694190661,GradientBoosting,english,156,results/20260206_120729/summary/all_results_lazypredict.csv,20260206_120729
0.75,0.75,0.7499897267310458,0.7515923566878981,0.7468354430379747,0.7564102564102564,0.8320184089414859,0.8706514442567356,SGDClassifier,english,156,results/20260206_120729/summary/all_results_lazypredict.csv,20260206_120729
0.7564102564102564,0.7564102564102564,0.7563702120664146,0.7532467532467533,0.7631578947368421,0.7435897435897436,0.8441814595660749,0.864020603707995,AdaBoost,english,156,results/20260206_120729/summary/all_results_lazypredict.csv,20260206_120729
0.7756410256410257,0.7756410256410257,0.7756318060406822,0.7741935483870968,0.7792207792207793,0.7692307692307693,0.8476331360946745,0.8826974198355247,MLP,english,156,results/20260206_120729/summary/all_results_lazypredict.csv,20260206_120729
0.782051282051282,0.782051282051282,0.7811520052813996,0.7671232876712328,0.8235294117647058,0.717948717948718,0.8091715976331361,0.842740036538754,RandomForest,english,156,results/20260206_120729/summary/all_results_lazypredict.csv,20260206_120729
0.7884615384615384,0.7884615384615385,0.7859192414854244,0.762589928057554,0.8688524590163934,0.6794871794871795,0.8469756738987508,0.8842427247267327,LDA,english,156,results/20260206_120729/summary/all_results_lazypredict.csv,20260206_120729
0.7884615384615384,0.7884615384615385,0.7859192414854244,0.762589928057554,0.8688524590163934,0.6794871794871795,,,RidgeClassifier,english,156,results/20260206_120729/summary/all_results_lazypredict.csv,20260206_120729
0.7884615384615384,0.7884615384615384,0.7874045013421433,0.7724137931034483,0.835820895522388,0.717948717948718,0.850016436554898,0.8745008635503045,ExtraTrees,english,156,results/20260206_120729/summary/all_results_lazypredict.csv,20260206_120729
0.8076923076923077,0.8076923076923077,0.8061309030654515,0.7887323943661971,0.875,0.717948717948718,0.8440992767915846,0.879750172192284,SVM_RBF,english,156,results/20260206_120729/summary/all_results_lazypredict.csv,20260206_120729
0.8076923076923077,0.8076923076923077,0.8068988281894702,0.7945205479452054,0.8529411764705882,0.7435897435897436,0.8719592373438527,0.8992801111301203,LogisticRegression,english,156,results/20260206_120729/summary/all_results_lazypredict.csv,20260206_120729
0.8141025641025641,0.8141025641025641,0.8134817563388992,0.8027210884353742,0.855072463768116,0.7564102564102564,0.8568376068376069,0.8926274276295748,SVM_Linear,english,156,results/20260206_120729/summary/all_results_lazypredict.csv,20260206_120729
0.6103896103896104,0.6138513513513514,0.608739837398374,0.5833333333333334,0.65625,0.525,0.6557432432432432,0.6629143910163185,SGDClassifier,korean,77,results/20260206_120729/summary/all_results_lazypredict.csv,20260206_120729
0.6233766233766234,0.6233108108108107,0.6231223628691983,0.6329113924050633,0.6410256410256411,0.625,0.6297297297297297,0.6440353611312489,GradientBoosting,korean,77,results/20260206_120729/summary/all_results_lazypredict.csv,20260206_120729
0.7065637065637066,0.7147058823529412,0.7060334528076464,0.6935483870967742,0.7962962962962963,0.6142857142857143,0.7448979591836735,0.788369262330869,QDA,mandarin,259,results/20260206_120729/summary/all_results_lazypredict.csv,20260206_120729
0.5555555555555556,0.5416666666666666,0.5397727272727273,0.4545454545454545,0.5,0.4166666666666667,0.5444444444444445,0.5410344693432928,LogisticRegression,slovene,27,results/20260206_120729/summary/all_results_lazypredict.csv,20260206_120729
0.6296296296296297,0.6166666666666667,0.6164772727272727,0.5454545454545454,0.6,0.5,0.5777777777777778,0.576053327763854,GaussianNB,slovene,27,results/20260206_120729/summary/all_results_lazypredict.csv,20260206_120729
0.6296296296296297,0.6083333333333334,0.6029411764705883,0.5,0.625,0.4166666666666667,0.6916666666666667,0.6041905480140775,ExtraTrees,slovene,27,results/20260206_120729/summary/all_results_lazypredict.csv,20260206_120729
0.6296296296296297,0.6083333333333334,0.6029411764705883,0.5,0.625,0.4166666666666667,0.6472222222222221,0.5491071428571429,Bagging,slovene,27,results/20260206_120729/summary/all_results_lazypredict.csv,20260206_120729
0.6296296296296297,0.6,0.5833333333333333,0.4444444444444444,0.6666666666666666,0.3333333333333333,0.4888888888888889,0.5505698005698006,LDA,slovene,27,results/20260206_120729/summary/all_results_lazypredict.csv,20260206_120729
0.5925925925925926,0.5666666666666667,0.5533834586466165,0.4210526315789473,0.5714285714285714,0.3333333333333333,0.5555555555555557,0.4918229918229918,KNN_3,slovene,27,results/20260206_120729/summary/all_results_lazypredict.csv,20260206_120729
0.5555555555555556,0.55,0.55,0.5,0.5,0.5,0.4888888888888889,0.4589516964516965,SGDClassifier,slovene,27,results/20260206_120729/summary/all_results_lazypredict.csv,20260206_120729
0.5555555555555556,0.5416666666666666,0.5397727272727273,0.4545454545454545,0.5,0.4166666666666667,,,RidgeClassifier,slovene,27,results/20260206_120729/summary/all_results_lazypredict.csv,20260206_120729
0.7407407407407407,0.7333333333333334,0.7349228611500701,0.6956521739130435,0.7272727272727273,0.6666666666666666,0.8166666666666667,0.8267720977279801,GradientBoosting,slovene,27,results/20260206_120729/summary/all_results_lazypredict.csv,20260206_120729
0.5555555555555556,0.5416666666666666,0.5397727272727273,0.4545454545454545,0.5,0.4166666666666667,0.2277777777777777,0.3556960361333426,SVM_Linear,slovene,27,results/20260206_120729/summary/all_results_lazypredict.csv,20260206_120729
0.5185185185185185,0.5166666666666666,0.5158620689655172,0.48,0.4615384615384615,0.5,0.5166666666666667,0.452991452991453,DecisionTree,slovene,27,results/20260206_120729/summary/all_results_lazypredict.csv,20260206_120729
0.5185185185185185,0.5083333333333333,0.5077138849929874,0.4347826086956521,0.4545454545454545,0.4166666666666667,0.6222222222222222,0.6514283918695684,AdaBoost,slovene,27,results/20260206_120729/summary/all_results_lazypredict.csv,20260206_120729
0.5185185185185185,0.5083333333333333,0.5077138849929874,0.4347826086956521,0.4545454545454545,0.4166666666666667,0.6388888888888888,0.5648981969276592,MLP,slovene,27,results/20260206_120729/summary/all_results_lazypredict.csv,20260206_120729
0.5185185185185185,0.4833333333333333,0.4419713831478538,0.2352941176470588,0.4,0.1666666666666666,0.0388888888888888,0.2897665133060206,SVM_RBF,slovene,27,results/20260206_120729/summary/all_results_lazypredict.csv,20260206_120729
0.4814814814814814,0.4499999999999999,0.4166666666666667,0.2222222222222222,0.3333333333333333,0.1666666666666666,0.4888888888888889,0.4470899470899471,KNN_5,slovene,27,results/20260206_120729/summary/all_results_lazypredict.csv,20260206_120729
0.7027027027027027,0.7092436974789915,0.7025430680885971,0.6956521739130435,0.7787610619469026,0.6285714285714286,0.7419567827130853,0.7621343029033527,SVM_RBF,mandarin,259,results/20260206_120729/summary/all_results_lazypredict.csv,20260206_120729
0.6666666666666666,0.6416666666666667,0.6345864661654135,0.5263157894736842,0.7142857142857143,0.4166666666666667,0.7916666666666667,0.6872810954618734,RandomForest,slovene,27,results/20260206_120729/summary/all_results_lazypredict.csv,20260206_120729
0.5945945945945946,0.5947478991596639,0.5937224554431779,0.6125461254612546,0.6335877862595419,0.5928571428571429,0.6260504201680672,0.6436801368473941,KNN_3,mandarin,259,results/20260206_120729/summary/all_results_lazypredict.csv,20260206_120729
0.667953667953668,0.6676470588235294,0.6668361852339357,0.6861313868613139,0.7014925373134329,0.6714285714285714,0.7402761104441776,0.7913162460596637,LogisticRegression,mandarin,259,results/20260206_120729/summary/all_results_lazypredict.csv,20260206_120729
0.7027027027027027,0.7105042016806723,0.702258849524492,0.6907630522088354,0.7889908256880734,0.6142857142857143,0.7621848739495798,0.7955842468720701,GaussianNB,mandarin,259,results/20260206_120729/summary/all_results_lazypredict.csv,20260206_120729
0.6795366795366795,0.6815126050420168,0.6792306429711864,0.6891385767790262,0.7244094488188977,0.6571428571428571,0.7169267707082833,0.7804438192291628,ExtraTrees,mandarin,259,results/20260206_120729/summary/all_results_lazypredict.csv,20260206_120729
0.6795366795366795,0.6815126050420168,0.6792306429711864,0.6891385767790262,0.7244094488188977,0.6571428571428571,0.751500600240096,0.7957096125137206,SVM_Linear,mandarin,259,results/20260206_120729/summary/all_results_lazypredict.csv,20260206_120729
0.6795366795366795,0.6796218487394958,0.6785975928833072,0.6959706959706959,0.7142857142857143,0.6785714285714286,,,RidgeClassifier,mandarin,259,results/20260206_120729/summary/all_results_lazypredict.csv,20260206_120729
0.6061776061776062,0.607983193277311,0.6058897243107769,0.6165413533834586,0.6507936507936508,0.5857142857142857,0.6587635054021609,0.6932819298087387,SGDClassifier,mandarin,259,results/20260206_120729/summary/all_results_lazypredict.csv,20260206_120729
0.6756756756756757,0.6785714285714286,0.6755547602004295,0.6818181818181818,0.7258064516129032,0.6428571428571429,0.7141056422569028,0.7548394031994385,Bagging,mandarin,259,results/20260206_120729/summary/all_results_lazypredict.csv,20260206_120729
0.6795366795366795,0.6796218487394958,0.6785975928833072,0.6959706959706959,0.7142857142857143,0.6785714285714286,0.7380552220888357,0.7894159979012261,LDA,mandarin,259,results/20260206_120729/summary/all_results_lazypredict.csv,20260206_120729
0.667953667953668,0.6676470588235294,0.6668361852339357,0.6861313868613139,0.7014925373134329,0.6714285714285714,0.7185174069627851,0.7687469160153216,RandomForest,mandarin,259,results/20260206_120729/summary/all_results_lazypredict.csv,20260206_120729
0.6486486486486487,0.6485294117647059,0.6476190476190475,0.6666666666666666,0.6842105263157895,0.65,0.6855342136854741,0.7506034592311742,AdaBoost,mandarin,259,results/20260206_120729/summary/all_results_lazypredict.csv,20260206_120729
0.6486486486486487,0.6472689075630251,0.6469433917042408,0.6714801444043321,0.6788321167883211,0.6642857142857143,0.6894357743097239,0.7436686425958441,GradientBoosting,mandarin,259,results/20260206_120729/summary/all_results_lazypredict.csv,20260206_120729
0.637065637065637,0.6315126050420168,0.6317906836055657,0.6758620689655173,0.6533333333333333,0.7,0.6315126050420168,0.6194954954954955,DecisionTree,mandarin,259,results/20260206_120729/summary/all_results_lazypredict.csv,20260206_120729
0.6216216216216216,0.6254201680672269,0.6216159809183065,0.6230769230769231,0.675,0.5785714285714286,0.662124849939976,0.6976240181381623,KNN_5,mandarin,259,results/20260206_120729/summary/all_results_lazypredict.csv,20260206_120729
0.6216216216216216,0.6191176470588236,0.6191176470588236,0.65,0.65,0.65,0.6884753901560624,0.745014319688927,MLP,mandarin,259,results/20260206_120729/summary/all_results_lazypredict.csv,20260206_120729
0.5925925925925926,0.575,0.5714285714285714,0.4761904761904761,0.5555555555555556,0.4166666666666667,0.5444444444444444,0.4993930801603436,RealMLP,slovene,27,results/20260206_115924/summary/all_results_realmlp.csv,20260206_115924
0.6293436293436293,0.630672268907563,0.6288955223880597,0.6417910447761194,0.671875,0.6142857142857143,0.6749099639855942,0.7588849234580467,RealMLP,mandarin,259,results/20260206_115924/summary/all_results_realmlp.csv,20260206_115924
0.6883116883116883,0.6908783783783784,0.6878378378378378,0.6756756756756757,0.7352941176470589,0.625,0.777027027027027,0.7954707621334874,RealMLP,korean,77,results/20260206_115924/summary/all_results_realmlp.csv,20260206_115924
0.6987179487179487,0.6987179487179487,0.6977118119975263,0.6802721088435374,0.7246376811594203,0.6410256410256411,0.7910913872452333,0.8178508607698134,RealMLP,english,156,results/20260206_115924/summary/all_results_realmlp.csv,20260206_115924
0.6756756756756757,0.6773109243697479,0.6752835820895522,0.6865671641791045,0.71875,0.6571428571428571,0.7404561824729892,0.7837964848179462,TabPFN,mandarin,259,results/20260206_115240/summary/all_results_tabpfn.csv,20260206_115240
0.8141025641025641,0.8141025641025641,0.8137275085436653,0.8053691275167785,0.8450704225352113,0.7692307692307693,0.87146614069691,0.905289282814244,TabPFN,english,156,results/20260206_115240/summary/all_results_tabpfn.csv,20260206_115240
0.7402597402597403,0.7398648648648649,0.7398648648648649,0.75,0.75,0.75,0.7780405405405406,0.7649045447713196,TabPFN,korean,77,results/20260206_115240/summary/all_results_tabpfn.csv,20260206_115240
0.4444444444444444,0.4166666666666666,0.3909774436090225,0.2105263157894736,0.2857142857142857,0.1666666666666666,0.4277777777777777,0.4182620243969348,TabPFN,slovene,27,results/20260206_115240/summary/all_results_tabpfn.csv,20260206_115240
